Address,Balance
osmo1vgqux432mjdtzax3rdnrcsjjfmnyaqxgpux0yy,213650935
osmo1vm42vs2e2tjhwvkjvsue04ntuuag8p7y5wnt2q,75099
osmo1j08lw97qg8ksa7ysv7445nueuesyzk9pft03g4,6684946222
osmo15q3wnqjvuxcwc843q5nnacux6xhm4h90pahk6m,65897247184
osmo1kv7whgzaclrqru26fgfuusgnyjspytded94rqq,9358106
osmo1rzlnl0yjuztvm7ctkmhc3aj9pyash66nz4um6x,338639250
osmo19xv2xgxlzack8sxs300cpkfhrh6csz7yddey85,778
osmo12v9guxre3v58ravh9rf0k8ualsspt4aktj8zwk,629117821
osmo1ersdsramdje39y2ekh9km4wezjlhslya6xxpcx,622020948
osmo1euzyju46hkp0mmvj4mm9nsurgkcv2yxcgezgm0,3333
osmo1udsfr3ace8xpw8m5cyam2832mxz92sqcyfla5t,375508698
osmo1u0kseh8dkah6am9gwacnatvm7gu7qqql5n377m,73322653019
osmo1qgp768ecgct4dhnx8xy7297c5ny8gkg435kzkv,18682532
osmo1wdyd706hl8n2m735q9sj605h7tx0tgvarpgmk7,155061436507
osmo1mrm47n7v5ehktslprgahpuqzdj8scklxc79lkn,5014660516
osmo1wspw3lsw758m9hg7tpdnewuxp6tjycmjurenu2,1660174859
osmo15yef0fdf5e9z4ycd7v7p59g99t09wdxg72rumj,1049545485375
osmo1qmydf26shsgenra78ns6v8e965f0dfdlhevlj5,969153064
osmo1z5tq60s9zxu339j9pvdud4qeaued0xptx8pu6j,857206
osmo1xz66rhw4q9r6eq6q25xe3fpt5m2ew3er8lc2yv,362860230
osmo142f043qjhlgr5ug3p26pu0ukmqt5tlszx9d4cp,1041939
osmo1svgrg5gztq5a5643vr4wuy0q22gugeqnree6xl,1260000000
osmo1jvrnq4dm3p4juc9zqu8wujxnpgtshjnujhg03u,36757851982
osmo1428e4mg259nsk4kk4cwgt7ycjxdcryn2a4vejn,129086
osmo13lzly6934ymemk6k3tzvlu3tl7v7gzq3tz48aw,21866481248
osmo16tetsna56vlwft49jsgls8fjt6ydt8rc7zeezh,250335029710
osmo1uvathplpd073n5jqkvcelk6fcsv4j82vmrshrr,119176541
osmo1z970jh75wzzv0zasqekhdxmaxkmzvt6a38v3rz,945392746
osmo1tpm8nmw8qsg9tvs830fk5f0hdzh9zl2jatk04u,53704866
osmo1vthzu9rj65v6lhu3mx89ekyvahccd3n978v0zt,1530000000
osmo1h068skumt7ukrkxcsrt9g22xnzrlqx3e5l7tlv,39449706
osmo1lh2auqtkyeay24msy77l3yauuhn4jgq3vs4w5p,131139627
osmo1lmvp3qkhhlzx7mg9em08pswuq8evqcmqyhzeen,34029598338
osmo1v97r4mzcy5tms3ctwfzwrndw56l8eu25uz4fhv,390633409524
osmo1jcph43a79jd62n532z0p5z89dphzg63c7fqh4u,490488930
osmo1n5dntz7l99z7gxrm4ledgny9ryq399hxqdapxq,622800718
osmo1teyxdfr5jvk88kgv6e94mqh2wzhgteesq4n0kv,41000064050
osmo1awqgtzpcmuknw0xry4z370pyhzlns4lly6rmzu,3486799924
osmo1awnptrwhlmx7uqgfumvmqjhgdkzerxql2qe6qe,1042073198
osmo1flhwl2st6dg0x3dzw2lwwdvrgm5sf8vsn6klu9,490829
osmo1vjdwjuxxtn3n5g532l6tkzmrv6xpyux0ejquye,1286260
osmo1dhdhgj69vhcdxa44tx00583mlw905jzmu56ret,199995969
osmo1whhu8wv3rm327el248f5t6ka4auv0fderzvjp5,821771050
osmo1mzr7ctrdsappa4dgv9h4w32urywcsf9xxwtuuf,141829275
osmo1q5lmqaytm9v3k2qjjnyahttfxlym4a9gpsewh9,4108790747
osmo1yvehzsac0gd8vxge3q3m3le8a6h63rl8gqhjc4,23529324
osmo1grqt2rdxktjtc7s9cckh7e9j32gz08eck25ewj,999975450
osmo1kangv2tlx0zs32xefgzrtdhn6v4ru0xcj6jzyl,133207
osmo1htjxte2vavgv25mj6a9x2905dtrzcnvn502uzz,55000000
osmo1es9af5w377rmy98ys7e59v3njhswmd3m9ef40g,6080150470
osmo1ecde6unkj4dhk5p3vy5hq43qq2fzzn622f0v3t,132900000000
osmo166jymkhyuyld6l63clhwrp2fup80rq6445nlt7,2235
osmo198xgde4nuzhnm2ll8e7n9p3q74mkads0ku9wu0,1242506333
osmo1xl5j5egqm63nnxluxtz6v7k7vxwp57lceepe9g,802108
osmo12dzut7g6pkldsl35rjcrtk6nknkatcq05t8lld,33530873
osmo1sgty7evfrlx7a32dzl76zrp0l2f2exdhu86ttv,57219802
osmo1krz2jjuqcry28rz6u43hkenr43euqj8ndkyh44,1
osmo1k6r92xxk284gzd3v2eqt0ff72wtdh8v44r7xzg,85075801497
osmo1rt6d67zpgpzrx9eur0j7p0gmkxzycqhrgm2036,325058360
osmo1y0wqjvehlc3gyl00p6v7j2ja6q3xflzaqamllx,29565838135
osmo18wzrerlnpgw2w7rg6kmpfn0nuft0v92ja83zgp,6215
osmo1sw6zg0the4mcpacy972yrnv8w2vzn9l83ar8t0,341269769
osmo1s0eqga8zka8kqllulejv3ntlqjy3jx36zalunp,1197693
osmo13qxles3d70xsvp2yae0qaaf4vzlllt3jj7p0cj,5624996
osmo17rm473lvrkcrgllu7jpz6gsrp6w2zp0t6w5hac,257956850
osmo1l4urwpugzxtn56amd52ffzgp4t750dsprwh2es,319975
osmo195n6vtzvy0c3045wyhzakn8cw5n07wgxdtf7ym,6522723
osmo1f30gmjqxnxyentfdg40fcnfppn55x5ffchq0hm,986373463
osmo1ts2pntvce7rklxsc9fuuq37gay80940qpnnppj,1189182211
osmo1m5cuh393va5a3nctz0rt5qkx46nsskuqpehanp,10000000
osmo1aj04527mtnpfjxvzjrqgr52gfj66h3qjrwy7qj,805
